City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
328,Dondo,MZ,-23.865,35.3833,65.59,90,2,5.14,clear sky
329,Warrington,US,32.7559,-111.5548,108.01,24,0,13.09,clear sky
330,Sorong,ID,-8.5833,116.1167,77.81,77,37,5.01,scattered clouds
331,Chinsali,ZM,-15.3292,28.682,56.61,53,0,2.19,clear sky
332,Teahupoo,PF,-23.1203,-134.9692,74.5,77,10,13.44,clear sky
333,Lashio,MM,22.9333,97.75,68.77,100,95,0.87,overcast clouds
334,Urumqi,CN,30.3,109.4833,75.51,98,100,1.01,moderate rain
335,Skjervoy,NO,62.5833,6.1333,66.25,88,100,4.61,overcast clouds
336,Waipawa,NZ,-46.6,168.3333,38.8,87,100,6.69,overcast clouds
337,Broome,AU,-33.65,115.3333,58.05,91,89,3.42,overcast clouds
338,Ostuni,IT,40.7276,17.5764,77.59,61,0,7.45,clear sky
339,Lagoa,PT,38.5167,-28.7,69.91,70,14,11.32,few clouds
340,Mechernich,DE,51.8707,9.0914,62.2,91,47,9.31,scattered clouds
341,Villarrica,CL,-53.15,-70.9167,35.71,75,0,23.02,clear sky
342,Masvingo,ZW,-20.0637,30.8277,55.4,61,0,4.5,clear sky
343,Vilyuysk,RU,54.8221,61.588,53.58,80,2,8.95,clear sky
344,Chateauroux,FR,46.8167,1.7,57.2,88,0,11.5,clear sky
345,Trincomalee,LK,5.9485,80.5353,77.76,87,100,14.79,overcast clouds
346,Marmarion,GR,38.0484,24.3204,83.52,51,0,7.92,clear sky
347,Malanje,AO,-9.5402,16.341,63.14,79,86,4.74,overcast clouds
